HoursPosted,timePosted 24hr,day posted,mediatype,sentiment,likes,isAd,comments,views,ratioLikesToHoursPosted,ratioVideoViewToHoursPosted,ratioCommentsToHoursPosted,noOfHashtags,noOfMentions,noOfFollowers,noOfFollowees
39,20,Tuesday,GraphImage,neutral,11310,False,815,0,290.0,0,20.897435897435898,0,0,2470992,0
40,19,Tuesday,GraphImage,neutral,24094,False,1779,0,602.35,0,44.475,2,0,2470992,0
41,18,Tuesday,GraphSidecar,neutral,7441,False,627,0,181.4878048780488,0,15.292682926829269,0,2,2470992,0
41,18,Tuesday,GraphImage,neutral,6256,False,373,0,152.58536585365854,0,9.097560975609756,2,0,2470992,0
42,18,Tuesday,GraphVideo,neutral,17042,False,1465,236859,405.76190476190476,5639.5,34.88095238095238,1,0,2470992,0
43,16,Tuesday,GraphVideo,neutral,3330,True,192,55472,77.44186046511628,1290.046511627907,4.465116279069767,0,1,2470992,0
43,16,Tuesday,GraphVideo,neutral,39056,False,6695,352646,908.2790697674419,8201.06976744186,155.69767441860466,2,0,2470992,0
43,16,Tuesday,GraphSidecar,positive,17579,False,1525,0,408.8139534883721,0,35.46511627906977,1,0,2470992,0
44,15,Tuesday,GraphSidecar,neutral,7381,False,406,0,167.75,0,9.227272727272727,0,1,2470992,0
44,15,Tuesday,GraphImage,neutral,12806,False,1002,0,291.04545454545456,0,22.772727272727273,3,0,2470992,0
44,15,Tuesday,GraphVideo,neutral,10033,False,860,157601,228.02272727272728,3581.840909090909,19.545454545454547,2,0,2470992,0
45,14,Tuesday,GraphVideo,positive,4242,True,487,50476,94.26666666666667,1121.6888888888889,10.822222222222223,3,3,2470992,0
45,14,Tuesday,GraphVideo,positive,13671,False,715,161021,303.8,3578.2444444444445,15.88888888888889,2,0,2470992,0
46,13,Tuesday,GraphImage,neutral,9098,False,488,0,197.7826086956522,0,10.608695652173912,2,0,2470992,0
47,12,Tuesday,GraphVideo,neutral,3625,True,176,54828,77.12765957446808,1166.5531914893618,3.74468085106383,2,2,2470992,0
47,12,Tuesday,GraphSidecar,neutral,20293,False,2235,0,431.7659574468085,0,47.5531914893617,0,0,2470992,0
47,12,Tuesday,GraphImage,neutral,22492,False,1582,0,478.5531914893617,0,33.659574468085104,4,0,2470992,0
48,11,Tuesday,GraphVideo,positive,2649,True,145,40340,55.1875,840.4166666666666,3.0208333333333335,0,1,2470992,0
49,11,Tuesday,GraphVideo,neutral,28798,False,1472,254314,587.7142857142857,5190.081632653061,30.040816326530614,1,1,2470992,0
49,10,Tuesday,GraphImage,neutral,18563,False,1281,0,378.83673469387753,0,26.142857142857142,0,0,2470992,0
50,9,Tuesday,GraphImage,neutral,1802,True,40,0,36.04,0,0.8,0,2,2470992,0
50,9,Tuesday,GraphVideo,negative,28698,False,2922,273914,573.96,5478.28,58.44,2,0,2470992,0
50,9,Tuesday,GraphSidecar,negative,14357,False,927,0,287.14,0,18.54,4,0,2470992,0
51,8,Tuesday,GraphSidecar,neutral,3133,True,0,0,61.431372549019606,0,0.0,3,10,2470992,0
52,7,Tuesday,GraphImage,neutral,11149,False,1031,0,214.40384615384616,0,19.826923076923077,5,0,2470992,0
52,7,Tuesday,GraphVideo,negative,16738,False,2133,214805,321.88461538461536,4130.865384615385,41.01923076923077,0,0,2470992,0
53,6,Tuesday,GraphVideo,neutral,6082,False,382,56405,114.75471698113208,1064.245283018868,7.2075471698113205,0,2,2470992,0
53,6,Tuesday,GraphSidecar,neutral,20134,False,3606,0,379.8867924528302,0,68.0377358490566,3,0,2470992,0
53,6,Tuesday,GraphImage,negative,14618,False,1061,0,275.811320754717,0,20.0188679245283,0,0,2470992,0
54,5,Tuesday,GraphVideo,positive,1670,False,55,32463,30.925925925925927,601.1666666666666,1.0185185185185186,5,2,2470992,0
54,5,Tuesday,GraphSidecar,neutral,8927,False,1120,0,165.3148148148148,0,20.74074074074074,0,0,2470992,0
55,4,Tuesday,GraphImage,negative,16841,False,2359,0,306.2,0,42.89090909090909,0,0,2470992,0
62,21,Monday,GraphImage,neutral,1831,True,0,0,29.532258064516128,0,0.0,0,2,2470992,0
63,21,Monday,GraphImage,neutral,12445,False,931,0,197.53968253968253,0,14.777777777777779,0,0,2470992,0
63,20,Monday,GraphImage,positive,40987,False,3574,0,650.5873015873016,0,56.73015873015873,4,0,2470992,0
64,19,Monday,GraphVideo,neutral,1551,False,74,26752,24.234375,418.0,1.15625,1,1,2470992,0
64,19,Monday,GraphImage,positive,10676,False,779,0,166.8125,0,12.171875,0,0,2470992,0
64,19,Monday,GraphImage,neutral,11571,False,1014,0,180.796875,0,15.84375,3,0,2470992,0
65,18,Monday,GraphVideo,positive,8126,False,254,134416,125.01538461538462,2067.9384615384615,3.9076923076923076,2,2,2470992,0
65,18,Monday,GraphImage,positive,20295,False,643,0,312.2307692307692,0,9.892307692307693,1,0,2470992,0
66,17,Monday,GraphVideo,negative,16878,False,1231,194866,255.72727272727272,2952.5151515151515,18.651515151515152,1,0,2470992,0
67,16,Monday,GraphSidecar,neutral,3506,True,0,0,52.32835820895522,0,0.0,0,4,2470992,0
67,16,Monday,GraphImage,neutral,19467,False,688,0,290.55223880597015,0,10.26865671641791,3,0,2470992,0
68,15,Monday,GraphSidecar,neutral,3297,False,82,0,48.48529411764706,0,1.2058823529411764,0,2,2470992,0
68,15,Monday,GraphImage,negative,18680,False,1278,0,274.70588235294116,0,18.794117647058822,0,0,2470992,0
68,15,Monday,GraphVideo,negative,16426,False,1514,192488,241.55882352941177,2830.705882352941,22.264705882352942,0,0,2470992,0
69,14,Monday,GraphSidecar,neutral,20714,False,1087,0,300.2028985507246,0,15.753623188405797,0,0,2470992,0
70,13,Monday,GraphVideo,neutral,8624,False,809,147041,123.2,2100.5857142857144,11.557142857142857,2,0,2470992,0
70,13,Monday,GraphImage,neutral,53627,False,2005,0,766.1,0,28.642857142857142,0,0,2470992,0
71,12,Monday,GraphSidecar,neutral,3402,True,123,0,47.91549295774648,0,1.732394366197183,0,0,2470992,0
71,12,Monday,GraphImage,negative,9215,False,530,0,129.7887323943662,0,7.464788732394366,1,0,2470992,0
71,12,Monday,GraphVideo,neutral,17048,False,893,198463,240.11267605633802,2795.2535211267605,12.577464788732394,1,0,2470992,0
72,11,Monday,GraphVideo,positive,2141,False,91,37056,29.73611111111111,514.6666666666666,1.2638888888888888,0,1,2470992,0
72,11,Monday,GraphSidecar,neutral,8979,False,521,0,124.70833333333333,0,7.236111111111111,1,0,2470992,0
